job_id,title,description,skills,riasec_vector,tags_en
11-3013.00,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.",,"[0.5614285714285715, 0.36, 0.23428571428571426, 0.5128571428571428, 0.7914285714285715, 0.7728571428571429]",active-listening|coordination|critical-thinking|judgment-and-decision-making|management-of-personnel-resources|monitoring|negotiation|reading-comprehension|social-perceptiveness|speaking|time-management|writing
11-3013.01,Security Managers,"Direct an organization's security functions, including physical security and safety of employees and facilities.",,"[0.4857142857142857, 0.53, 0.1842857142857143, 0.39285714285714285, 0.7999999999999999, 0.7699999999999999]",active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|monitoring|reading-comprehension|social-perceptiveness|speaking|writing
11-3021.00,Computer and Information Systems Managers,"Plan, direct, or coordinate activities in such fields as electronic data processing, information systems, systems analysis, and computer programming.",,"[0.3657142857142857, 0.6314285714285715, 0.21428571428571427, 0.3442857142857143, 0.7271428571428571, 0.8171428571428571]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|instructing|judgment-and-decision-making|monitoring|reading-comprehension|social-perceptiveness|speaking|systems-evaluation|writing
11-3031.00,Financial Managers,"Plan, direct, or coordinate accounting, investing, banking, insurance, securities, and other financial activities of a branch, office, or department of an establishment.",,"[0.1742857142857143, 0.35000000000000003, 0.22, 0.4185714285714286, 1.0, 0.8142857142857143]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|management-of-personnel-resources|monitoring|negotiation|persuasion|reading-comprehension|social-perceptiveness|speaking|time-management|writing
11-3031.01,Treasurers and Controllers,"Direct financial activities, such as planning, procurement, and investments for all or part of an organization.",,"[0.14285714285714285, 0.34285714285714286, 0.18285714285714286, 0.38571428571428573, 0.8885714285714286, 0.8785714285714287]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|management-of-financial-resources|mathematics|monitoring|reading-comprehension|speaking|systems-analysis|systems-evaluation|time-management|writing
11-3031.03,Investment Fund Managers,"Plan, direct, or coordinate investment strategy or operations for a large pool of liquid assets supplied by institutional investors or individual investors.",,"[0.23714285714285713, 0.53, 0.21, 0.3657142857142857, 0.9671428571428571, 0.75]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|monitoring|reading-comprehension|speaking|systems-analysis|systems-evaluation|time-management|writing
11-3051.00,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.",,"[0.6042857142857143, 0.42, 0.19, 0.26142857142857145, 0.8457142857142858, 0.7557142857142857]",active-learning|active-listening|coordination|critical-thinking|judgment-and-decision-making|learning-strategies|management-of-financial-resources|management-of-material-resources|management-of-personnel-resources|monitoring|reading-comprehension|speaking|time-management|writing
11-3051.01,Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.",,"[0.5142857142857143, 0.5742857142857142, 0.16714285714285712, 0.2957142857142857, 0.7214285714285714, 0.8142857142857143]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|monitoring|quality-control-analysis|reading-comprehension|speaking|systems-analysis|systems-evaluation|writing
11-3051.02,Geothermal Production Managers,Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.,,"[0.7642857142857142, 0.4785714285714286, 0.14285714285714285, 0.2957142857142857, 0.6542857142857142, 0.6885714285714286]",active-listening|coordination|critical-thinking|judgment-and-decision-making|management-of-financial-resources|management-of-personnel-resources|mathematics|monitoring|reading-comprehension|social-perceptiveness|speaking|systems-evaluation|time-management|writing
11-3051.03,Biofuels Production Managers,"Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures.",,"[0.6557142857142857, 0.5342857142857144, 0.14285714285714285, 0.26142857142857145, 0.7728571428571429, 0.7228571428571428]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|instructing|judgment-and-decision-making|management-of-personnel-resources|monitoring|reading-comprehension|social-perceptiveness|speaking|time-management
11-3051.04,Biomass Power Plant Managers,"Manage operations at biomass power generation facilities. Direct work activities at plant, including supervision of operations and maintenance staff.",,"[0.7314285714285714, 0.4557142857142857, 0.14285714285714285, 0.24571428571428572, 0.6942857142857143, 0.7628571428571428]",active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|management-of-personnel-resources|monitoring|operations-monitoring|reading-comprehension|speaking|systems-analysis|writing
11-3051.06,Hydroelectric Production Managers,Manage operations at hydroelectric power generation facilities. Maintain and monitor hydroelectric plant equipment for efficient and safe plant operations.,,"[0.7671428571428571, 0.52, 0.14285714285714285, 0.26142857142857145, 0.6528571428571429, 0.7171428571428571]",active-listening|complex-problem-solving|coordination|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|management-of-personnel-resources|monitoring|reading-comprehension|speaking|time-management|writing
11-3061.00,Purchasing Managers,"Plan, direct, or coordinate the activities of buyers, purchasing officers, and related workers involved in purchasing materials, products, and services. Includes wholesale or retail trade merchandising managers and procurement managers.",,"[0.2914285714285714, 0.2871428571428571, 0.19999999999999998, 0.39571428571428574, 1.0, 0.7928571428571428]",active-listening|coordination|critical-thinking|management-of-personnel-resources|monitoring|negotiation|persuasion|reading-comprehension|social-perceptiveness|speaking|time-management|writing
11-3071.00,"Transportation, Storage, and Distribution Managers","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers.",,"[0.5142857142857143, 0.37714285714285717, 0.14285714285714285, 0.34142857142857147, 0.8571428571428571, 0.8200000000000001]",active-learning|active-listening|coordination|critical-thinking|monitoring|negotiation|persuasion|reading-comprehension|speaking|time-management|writing
11-3071.04,Supply Chain Managers,"Direct or coordinate production, purchasing, warehousing, distribution, or financial forecasting services or activities to limit costs and improve accuracy, customer service, or safety. Examine existing procedures or opportunities for streamlining activities to meet product distribution needs. Direct the movement, storage, or processing of inventory.",,"[0.48857142857142855, 0.36428571428571427, 0.14285714285714285, 0.2928571428571428, 0.9014285714285714, 0.7714285714285715]",active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|monitoring|reading-comprehension|social-perceptiveness|speaking|time-management|writing
11-3111.00,Compensation and Benefits Managers,"Plan, direct, or coordinate compensation and benefits activities of an organization.",,"[0.14285714285714285, 0.3485714285714286, 0.21285714285714286, 0.5271428571428571, 1.0, 0.7942857142857143]",active-learning|active-listening|critical-thinking|judgment-and-decision-making|management-of-financial-resources|management-of-personnel-resources|reading-comprehension|social-perceptiveness|speaking|systems-analysis|systems-evaluation|time-management|writing
11-3121.00,Human Resources Managers,"Plan, direct, or coordinate human resources activities and staff of an organization.",,"[0.15571428571428572, 0.3828571428571429, 0.24428571428571427, 0.5542857142857143, 1.0, 0.7414285714285714]",active-learning|active-listening|coordination|critical-thinking|judgment-and-decision-making|management-of-personnel-resources|monitoring|reading-comprehension|social-perceptiveness|speaking|time-management|writing
11-3131.00,Training and Development Managers,"Plan, direct, or coordinate the training and development activities and staff of an organization.",,"[0.2785714285714286, 0.4657142857142857, 0.3742857142857143, 0.7914285714285715, 0.9071428571428571, 0.5614285714285715]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|instructing|learning-strategies|management-of-personnel-resources|monitoring|reading-comprehension|social-perceptiveness|speaking|writing
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers","Plan, direct, or coordinate the management or operation of farms, ranches, greenhouses, aquacultural operations, nurseries, timber tracts, or other agricultural establishments. May hire, train, and supervise farm workers or contract for services to carry out the day-to-day activities of the managed operation. May engage in or supervise planting, cultivating, harvesting, and financial and marketing activities.",,"[0.7371428571428572, 0.39571428571428574, 0.14857142857142858, 0.3757142857142857, 0.7914285714285715, 0.6442857142857142]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|management-of-personnel-resources|monitoring|negotiation|persuasion|reading-comprehension|social-perceptiveness|speaking|time-management|writing
11-9021.00,Construction Managers,"Plan, direct, or coordinate, usually through subordinate supervisory personnel, activities concerned with the construction and maintenance of structures, facilities, and systems. Participate in the conceptual development of a construction project and oversee its organization, scheduling, budgeting, and implementation. Includes managers in specialized construction fields, such as carpentry or plumbing.",,"[0.67, 0.44, 0.24714285714285714, 0.33428571428571424, 0.8200000000000001, 0.687142857142857]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|management-of-financial-resources|management-of-personnel-resources|monitoring|reading-comprehension|speaking|time-management
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare","Plan, direct, or coordinate academic or nonacademic activities of preschools or childcare centers and programs, including before- and after-school care.",,"[0.1542857142857143, 0.43285714285714283, 0.4114285714285714, 0.9428571428571428, 0.6799999999999999, 0.6114285714285714]",active-learning|active-listening|coordination|critical-thinking|instructing|learning-strategies|management-of-personnel-resources|monitoring|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
11-9032.00,"Education Administrators, Kindergarten through Secondary","Plan, direct, or coordinate the academic, administrative, or auxiliary activities of kindergarten, elementary, or secondary schools.",,"[0.16857142857142857, 0.47428571428571425, 0.42142857142857143, 0.8385714285714286, 0.7385714285714285, 0.64]",active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|learning-strategies|management-of-personnel-resources|monitoring|reading-comprehension|social-perceptiveness|speaking|systems-evaluation|writing
11-9033.00,"Education Administrators, Postsecondary","Plan, direct, or coordinate student instruction, administration, and services, as well as other research and educational activities, at postsecondary institutions, including universities, colleges, and junior and community colleges.",,"[0.14285714285714285, 0.5714285714285714, 0.41571428571428576, 0.8285714285714285, 0.7414285714285714, 0.6671428571428571]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|instructing|judgment-and-decision-making|learning-strategies|monitoring|reading-comprehension|social-perceptiveness|speaking|writing
11-9041.00,Architectural and Engineering Managers,"Plan, direct, or coordinate activities in such fields as architecture and engineering or research and development in these fields.",,"[0.45285714285714285, 0.6371428571428571, 0.38, 0.4057142857142857, 0.9114285714285714, 0.6542857142857142]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|mathematics|monitoring|reading-comprehension|speaking|time-management|writing
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.",,"[0.5942857142857143, 0.8342857142857143, 0.30142857142857143, 0.3, 0.6714285714285715, 0.5014285714285714]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|monitoring|reading-comprehension|speaking|systems-analysis|systems-evaluation|writing
11-9051.00,Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.",,"[0.5657142857142857, 0.26571428571428574, 0.22714285714285715, 0.5014285714285714, 0.85, 0.7557142857142857]",active-learning|active-listening|coordination|critical-thinking|management-of-personnel-resources|monitoring|reading-comprehension|service-orientation|social-perceptiveness|speaking|time-management
11-9071.00,Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.",,"[0.42, 0.18857142857142858, 0.14285714285714285, 0.3757142857142857, 0.9585714285714285, 0.7771428571428572]",active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|management-of-personnel-resources|monitoring|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
11-9072.00,"Entertainment and Recreation Managers, Except Gambling","Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.",,"[0.5871428571428572, 0.2914285714285714, 0.26857142857142857, 0.5071428571428571, 0.8371428571428572, 0.6828571428571429]",active-learning|active-listening|coordination|critical-thinking|learning-strategies|persuasion|reading-comprehension|service-orientation|social-perceptiveness|speaking|time-management|writing
11-9081.00,Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.",,"[0.35000000000000003, 0.16714285714285712, 0.20714285714285713, 0.6028571428571429, 0.8985714285714286, 0.7585714285714286]",active-learning|active-listening|coordination|critical-thinking|management-of-personnel-resources|negotiation|persuasion|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
11-9111.00,Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.",,"[0.3071428571428571, 0.55, 0.18857142857142858, 0.6057142857142858, 0.8071428571428572, 0.8042857142857143]",active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|management-of-personnel-resources|monitoring|persuasion|reading-comprehension|social-perceptiveness|speaking|writing
11-9121.00,Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.",,"[0.4342857142857143, 0.8185714285714286, 0.35857142857142854, 0.4242857142857143, 0.8042857142857143, 0.5985714285714286]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|management-of-personnel-resources|mathematics|monitoring|reading-comprehension|science|speaking|time-management|writing
11-9121.01,Clinical Research Coordinators,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.",,"[0.28285714285714286, 0.8200000000000001, 0.21857142857142858, 0.51, 0.61, 0.72]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|monitoring|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
11-9121.02,Water Resource Specialists,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.",,"[0.6357142857142858, 0.8285714285714285, 0.2542857142857143, 0.3685714285714286, 0.5042857142857142, 0.5957142857142858]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|mathematics|monitoring|reading-comprehension|speaking|systems-analysis|systems-evaluation|time-management|writing
11-9131.00,Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.",,"[0.29714285714285715, 0.1657142857142857, 0.15285714285714286, 0.48142857142857143, 0.8571428571428571, 0.8485714285714286]",active-listening|coordination|critical-thinking|management-of-personnel-resources|monitoring|negotiation|persuasion|reading-comprehension|social-perceptiveness|speaking|time-management|writing
11-9141.00,"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).",,"[0.44857142857142857, 0.31714285714285717, 0.25, 0.4985714285714286, 0.9671428571428571, 0.7657142857142858]",active-listening|coordination|critical-thinking|judgment-and-decision-making|negotiation|persuasion|reading-comprehension|social-perceptiveness|speaking|time-management|writing
11-9151.00,Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.",,"[0.14285714285714285, 0.3071428571428571, 0.33428571428571424, 0.7642857142857142, 1.0, 0.65]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|management-of-personnel-resources|monitoring|reading-comprehension|service-orientation|social-perceptiveness|speaking|time-management|writing
11-9161.00,Emergency Management Directors,"Plan and direct disaster response or crisis management activities, provide disaster preparedness training, and prepare emergency plans and procedures for natural (e.g., hurricanes, floods, earthquakes), wartime, or technological (e.g., nuclear power plant emergencies or hazardous materials spills) disasters or hostage situations.",,"[0.5142857142857143, 0.6514285714285714, 0.2542857142857143, 0.5714285714285714, 0.7128571428571429, 0.6657142857142857]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|instructing|judgment-and-decision-making|monitoring|reading-comprehension|service-orientation|social-perceptiveness|speaking|systems-analysis|systems-evaluation|writing
11-9171.00,Funeral Home Managers,"Plan, direct, or coordinate the services or resources of funeral homes. Includes activities such as determining prices for services or merchandise and managing the facilities of funeral homes.",,"[0.42714285714285716, 0.2914285714285714, 0.26571428571428574, 0.6257142857142857, 0.9299999999999999, 0.6799999999999999]",active-listening|coordination|critical-thinking|judgment-and-decision-making|management-of-personnel-resources|persuasion|reading-comprehension|service-orientation|social-perceptiveness|speaking|time-management|writing
11-9179.01,Fitness and Wellness Coordinators,"Manage or coordinate fitness and wellness programs and services. Manage and train staff of wellness specialists, health educators, or fitness instructors.",,"[0.4257142857142857, 0.3985714285714286, 0.3028571428571429, 0.8028571428571428, 0.7714285714285715, 0.5228571428571429]",active-learning|active-listening|coordination|critical-thinking|instructing|learning-strategies|monitoring|persuasion|reading-comprehension|service-orientation|social-perceptiveness|speaking|writing
11-9179.02,Spa Managers,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.",,"[0.35857142857142854, 0.1657142857142857, 0.21857142857142858, 0.5614285714285715, 1.0, 0.8099999999999999]",active-learning|active-listening|coordination|critical-thinking|judgment-and-decision-making|management-of-personnel-resources|monitoring|persuasion|reading-comprehension|service-orientation|social-perceptiveness|speaking|time-management
11-9199.01,Regulatory Affairs Managers,"Plan, direct, or coordinate production activities of an organization to ensure compliance with regulations and standard operating procedures.",,"[0.25, 0.4057142857142857, 0.17857142857142858, 0.37714285714285717, 0.9157142857142857, 0.8642857142857142]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|monitoring|reading-comprehension|speaking|systems-analysis|systems-evaluation|time-management|writing
11-9199.02,Compliance Managers,"Plan, direct, or coordinate activities of an organization to ensure compliance with ethical or regulatory standards.",,"[0.2742857142857143, 0.4257142857142857, 0.14285714285714285, 0.4428571428571429, 0.8471428571428571, 0.9]",active-learning|active-listening|coordination|critical-thinking|instructing|judgment-and-decision-making|monitoring|persuasion|reading-comprehension|social-perceptiveness|speaking|writing
11-9199.08,Loss Prevention Managers,"Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures.",,"[0.5414285714285715, 0.53, 0.14285714285714285, 0.38571428571428573, 0.8042857142857143, 0.8057142857142857]",active-listening|complex-problem-solving|critical-thinking|instructing|judgment-and-decision-making|management-of-personnel-resources|monitoring|persuasion|reading-comprehension|speaking|systems-analysis|writing
11-9199.09,Wind Energy Operations Managers,"Manage wind field operations, including personnel, maintenance activities, financial activities, and planning.",,"[0.5942857142857143, 0.4342857142857143, 0.14285714285714285, 0.33428571428571424, 0.9242857142857143, 0.7485714285714286]",active-listening|complex-problem-solving|coordination|critical-thinking|management-of-personnel-resources|monitoring|negotiation|persuasion|reading-comprehension|social-perceptiveness|speaking|writing
11-9199.10,Wind Energy Development Managers,"Lead or manage the development and evaluation of potential wind energy business opportunities, including environmental studies, permitting, and proposals. May also manage construction of projects.",,"[0.49142857142857144, 0.5514285714285714, 0.23714285714285713, 0.33999999999999997, 0.9585714285714285, 0.6885714285714286]",active-learning|active-listening|coordination|critical-thinking|judgment-and-decision-making|mathematics|monitoring|negotiation|persuasion|reading-comprehension|social-perceptiveness|speaking|time-management|writing
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.,,"[0.6414285714285715, 0.6157142857142857, 0.20857142857142857, 0.29, 0.6485714285714286, 0.67]",active-learning|active-listening|complex-problem-solving|coordination|critical-thinking|judgment-and-decision-making|mathematics|monitoring|reading-comprehension|speaking|writing
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes","Represent and promote artists, performers, and athletes in dealings with current or prospective employers. May handle contract negotiation and other business matters for clients.",,"[0.14285714285714285, 0.2357142857142857, 0.5028571428571429, 0.5728571428571428, 0.9071428571428571, 0.5571428571428572]",active-learning|active-listening|coordination|critical-thinking|judgment-and-decision-making|negotiation|persuasion|reading-comprehension|social-perceptiveness|speaking|time-management|writing
13-1021.00,"Buyers and Purchasing Agents, Farm Products","Purchase farm products either for further processing or resale. Includes tree farm contractors, grain brokers and market operators, grain buyers, and tobacco buyers. May negotiate contracts.",,"[0.6685714285714285, 0.2571428571428572, 0.14714285714285716, 0.24285714285714285, 0.6942857142857143, 0.6942857142857143]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|monitoring|negotiation|persuasion|reading-comprehension|speaking|writing
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products","Buy merchandise or commodities, other than farm products, for resale to consumers at the wholesale or retail level, including both durable and nondurable goods. Analyze past buying trends, sales records, price, and quality of merchandise to determine value and yield. Select, order, and authorize payment for merchandise according to contractual agreements. May conduct meetings with sales personnel and introduce new products. May negotiate contracts. Includes assistant wholesale and retail buyers of nonfarm products.",,"[0.48714285714285716, 0.2714285714285714, 0.22571428571428573, 0.34714285714285714, 0.7428571428571429, 0.7357142857142858]",active-learning|active-listening|coordination|critical-thinking|judgment-and-decision-making|mathematics|monitoring|negotiation|persuasion|reading-comprehension|social-perceptiveness|speaking|writing
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products","Purchase machinery, equipment, tools, parts, supplies, or services necessary for the operation of an establishment. Purchase raw or semifinished materials for manufacturing. May negotiate contracts.",,"[0.4842857142857143, 0.27285714285714285, 0.16, 0.2757142857142857, 0.7128571428571429, 0.812857142857143]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|monitoring|negotiation|persuasion|reading-comprehension|speaking|writing
13-1031.00,"Claims Adjusters, Examiners, and Investigators",Review settled claims to determine that payments and settlements are made in accordance with company practices and procedures. Confer with legal counsel on claims requiring litigation. May also settle insurance claims.,,"[0.15857142857142859, 0.4857142857142857, 0.14285714285714285, 0.3757142857142857, 0.6857142857142857, 0.8914285714285715]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|monitoring|reading-comprehension|social-perceptiveness|speaking|writing
13-1032.00,"Insurance Appraisers, Auto Damage",Appraise automobile or other vehicle damage to determine repair costs for insurance claim settlement. Prepare insurance forms to indicate repair cost or cost estimates and recommendations. May seek agreement with automotive repair shop on repair costs.,,"[0.7214285714285714, 0.43285714285714283, 0.16, 0.24285714285714285, 0.5142857142857143, 0.78]",active-learning|active-listening|critical-thinking|judgment-and-decision-making|reading-comprehension|service-orientation|social-perceptiveness|speaking|time-management|writing
13-1041.00,Compliance Officers,"Examine, evaluate, and investigate eligibility for or conformity with laws and regulations governing contract compliance of licenses and permits, and perform other compliance and enforcement inspection and analysis activities not classified elsewhere.",,"[0.3685714285714286, 0.43571428571428567, 0.14285714285714285, 0.42142857142857143, 0.58, 0.9028571428571429]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|monitoring|persuasion|reading-comprehension|social-perceptiveness|speaking|time-management|writing
13-1041.01,Environmental Compliance Inspectors,"Inspect and investigate sources of pollution to protect the public and environment and ensure conformance with Federal, State, and local regulations and ordinances.",,"[0.6528571428571429, 0.6814285714285714, 0.15, 0.33571428571428574, 0.4585714285714286, 0.8342857142857143]",active-learning|active-listening|complex-problem-solving|critical-thinking|judgment-and-decision-making|monitoring|operations-monitoring|reading-comprehension|social-perceptiveness|speaking|systems-evaluation|writing
